Origin,2015 Combined,2020 Combined,2015 Males,2020 Males,2015 Females,2020 Females
Malawi,297490,311070,172333,185437,125157,125633
Malaysia,1781303,1860347,816297,805320,965006,1055027
Maldives,3617,3726,1685,1745,1932,1981
Mali,1228553,1303519,696323,742064,532230,561455
Malta,93616,102872,47256,51761,46360,51111
Marshall Islands,7997,11269,3947,5507,4050,5762
Martinique,15372,15985,6828,7095,8544,8890
Mauritania,114632,130227,71355,80059,43277,50168
Mauritius,165869,182973,74559,82790,91310,100183
Mayotte,6545,6767,3199,3305,3346,3462
Mexico,11958279,11231897,6375904,5971195,5582375,5260702
Micronesia,62625,72710,31301,36113,31324,36597
Micronesia (Fed. States of),33033,37981,16575,18931,16458,19050
Monaco,29475,32722,13970,15536,15505,17186
Mongolia,65487,82099,30999,39366,34488,42733
Montenegro,134329,133249,61474,61684,72855,71565
Montserrat,20136,24582,8863,10680,11273,13902
Morocco,2973695,3264173,1576310,1708515,1397385,1555658
Mozambique,598684,642031,348849,386772,249835,255259
Myanmar,2842517,3711774,1593444,2323915,1249073,1387859
Namibia,50469,47833,25090,23664,25379,24169
Nauru,3738,4040,1868,2006,1870,2034
Nepal,2270357,2599894,1239317,1461863,1031040,1138031
Netherlands,877591,982351,442094,492165,435497,490186
New Caledonia,5584,5839,2725,2855,2859,2984
New Zealand,738748,806982,375020,407265,363728,399717
Nicaragua,658810,721471,306608,340044,352202,381427
Niger,375010,399725,221632,236334,153378,163391
Nigeria,1308894,1674151,684450,880418,624444,793733
Niue,5350,5187,2620,2555,2730,2632
North Macedonia,564903,695475,292007,358491,272896,336984
Northern Mariana Islands,5139,5405,2635,2755,2504,2650
Norway,186837,192810,83067,83706,103770,109104
Oman,22820,25123,11980,13588,10840,11535
Other,10918842,12657151,5685512,6533198,5233330,6123953
Pakistan,5798656,6330708,3744144,4148456,2054512,2182252
Palau,4876,5066,2480,2588,2396,2478
Panama,155856,146065,76456,71531,79400,74534
Papua New Guinea,4982,4811,2353,2354,2629,2457
Paraguay,1580465,1645568,690872,721394,889593,924174
Peru,1851773,2053865,812880,924288,1038893,1129577
Philippines,5543346,6141656,2556311,2829298,2987035,3312358
Poland,4092104,4841034,1891069,2306490,2201035,2534544
Portugal,2193690,2314636,1125854,1196922,1067836,1117714
Puerto Rico,1721850,1856913,844581,908860,877269,948053
Qatar,23576,25706,11904,13146,11672,12560
Republic of Korea,2180804,2235684,1077103,1104515,1103701,1131169
Republic of Moldova,930224,1159910,431083,554540,499141,605370
Romania,3425832,3992629,1570107,1876563,1855725,2116066
Russian Federation,10187260,10764761,4452199,4658401,5735061,6106360
Rwanda,503685,492507,247171,241204,256514,251303
