Destination,Origin,2015 Combined,2020 Combined,2015 Males,2020 Males,2015 Females,2020 Females
Mozambique,Angola,37206,39092,17974,19087,19232,20005
Mozambique,Burundi,5954,8388,2880,4099,3074,4289
Mozambique,Cabo Verde,6491,6819,3310,3511,3181,3308
Mozambique,Democratic Republic of the Congo,9958,11458,4813,5597,5145,5861
Mozambique,India,2338,2455,1448,1529,890,926
Mozambique,Kenya,23584,24779,11174,11870,12410,12909
Mozambique,Lesotho,7465,7842,3219,3425,4246,4417
Mozambique,Malawi,59620,62643,29444,31253,30176,31390
Mozambique,Nigeria,5100,5356,2392,2540,2708,2816
Mozambique,Pakistan,1345,1412,832,879,513,533
Mozambique,Portugal,4331,4549,2778,2935,1553,1614
Mozambique,Seychelles,16123,16940,7252,7713,8871,9227
Mozambique,South Africa,19198,20171,9485,10068,9713,10103
Mozambique,Zimbabwe,92671,97379,43649,46377,49022,51002
Mozambique,United Republic of Tanzania,7067,7423,3625,3843,3442,3580
Mozambique,Zambia,5059,5315,2391,2541,2668,2774
Mozambique,Other,18284,16829,8844,8223,9440,8606
Réunion,Micronesia,0,0,0,0,0,0
Réunion,Comoros,2215,2294,1045,1083,1170,1211
Réunion,France,84056,87069,46102,47756,37954,39313
Réunion,Madagascar,16763,17363,7899,8182,8864,9181
Réunion,Mauritius,5059,5240,2384,2470,2675,2770
Réunion,Mayotte,6507,6740,3173,3287,3334,3453
Réunion,Other,12609,13063,3934,4074,8675,8989
Rwanda,Micronesia,0,0,0,0,0,0
Rwanda,Burundi,134501,131063,68378,66047,66123,65016
Rwanda,Democratic Republic of the Congo,233744,236657,112178,117125,121566,119532
Rwanda,Kenya,2581,2575,1498,1511,1083,1064
Rwanda,Uganda,92195,92061,47755,48366,44440,43695
Rwanda,United Republic of Tanzania,42776,42713,21461,21755,21315,20958
Rwanda,Other,8850,8838,5057,5103,3793,3735
Seychelles,Micronesia,0,0,0,0,0,0
Seychelles,Australia,51,50,27,27,24,23
Seychelles,Bangladesh,220,223,176,180,44,43
Seychelles,Belgium,38,37,14,14,24,23
Seychelles,Sri Lanka,598,609,427,436,171,173
Seychelles,China,510,519,449,459,61,60
Seychelles,Cuba,43,42,19,19,24,23
Seychelles,France,239,242,122,124,117,118
Seychelles,Germany,85,85,38,39,47,46
Seychelles,India,6482,6628,4726,4821,1756,1807
Seychelles,Indonesia,141,143,102,105,39,38
Seychelles,Italy,122,123,75,77,47,46
Seychelles,Kenya,409,415,154,157,255,258
Seychelles,Madagascar,801,816,647,660,154,156
Seychelles,Maldives,38,37,25,25,13,12
Seychelles,Mauritius,554,564,410,418,144,146
Seychelles,Nepal,175,177,155,158,20,19
Seychelles,Nigeria,136,137,43,44,93,93
Seychelles,Pakistan,24,23,19,19,5,4
Seychelles,Philippines,705,718,526,537,179,181
Seychelles,Russian Federation,96,97,39,41,57,56
Seychelles,Somalia,64,63,42,42,22,21
Seychelles,South Africa,255,258,155,157,100,101
Seychelles,Spain,24,23,6,6,18,17
Seychelles,Thailand,239,242,120,122,119,120
Seychelles,Uganda,28,27,14,14,14,13
Seychelles,United Kingdom,290,295,156,160,134,135
Seychelles,Other,424,457,268,275,156,182
Somalia,Micronesia,0,0,0,0,0,0
Somalia,Ethiopia,13641,21764,6821,11554,6820,10210
Somalia,Eritrea,34,36,19,21,15,15
Somalia,Yemen,5883,13285,2991,7083,2892,6202
Somalia,Other,21432,23505,11753,13627,9679,9878
South Sudan,Micronesia,0,0,0,0,0,0
South Sudan,Central African Republic,4574,4690,2650,2717,1924,1973
South Sudan,Chad,5184,5315,3122,3200,2062,2115
South Sudan,Democratic Republic of the Congo,87755,93982,48538,50750,39217,43232
South Sudan,Egypt,5145,5275,3099,3177,2046,2098
South Sudan,Eritrea,3318,3402,1999,2049,1319,1353
South Sudan,Ethiopia,12786,13110,6784,6953,6002,6157
South Sudan,India,1414,1449,852,873,562,576
South Sudan,Kenya,9558,9800,5757,5901,3801,3899
South Sudan,Libya,153,156,86,88,67,68
South Sudan,Mali,203,208,122,125,81,83
South Sudan,Nigeria,3537,3626,2131,2184,1406,1442
South Sudan,Sudan,562381,587668,277121,285944,285260,301724
South Sudan,Uganda,145607,151003,77180,77903,68427,73100
South Sudan,Other,2497,2568,1503,1541,994,1027
Uganda,Micronesia,0,0,0,0,0,0
Uganda,Algeria,0,0,0,0,0,0
Uganda,Bangladesh,126,117,18,16,108,101
Uganda,Belgium,38,35,19,18,19,17
Uganda,Burundi,44379,50652,23154,25675,21225,24977
Uganda,Canada,239,221,134,124,105,97
Uganda,China,366,341,231,215,135,126
Uganda,Democratic Republic of the Congo,286214,397638,138217,187992,147997,209646
Uganda,Cuba,16,15,15,15,1,0
Uganda,Denmark,154,143,74,69,80,74
Uganda,Ethiopia,2507,3009,1248,1458,1259,1551
Uganda,Eritrea,9250,14499,4598,7010,4652,7489
Uganda,France,222,207,136,127,86,80
Uganda,Gambia,0,0,0,0,0,0
Uganda,Germany,209,194,107,99,102,95
Uganda,Ghana,0,0,0,0,0,0
Uganda,Greece,35,32,16,15,19,17
Uganda,Hungary,8,7,0,0,8,7
Uganda,India,3520,3277,2202,2043,1318,1234
Uganda,Italy,362,337,329,307,33,30
Uganda,Côte d'Ivoire,56,52,2,2,54,50
Uganda,Japan,183,170,119,111,64,59
Uganda,Kenya,38254,34241,16315,14376,21939,19865
Uganda,Dem. People's Republic of Korea,131,121,100,92,31,29
Uganda,Republic of Korea,154,143,28,26,126,117
Uganda,Libya,0,0,0,0,0,0
Uganda,Malawi,6,5,5,5,1,0
Uganda,Mauritania,0,0,0,0,0,0
Uganda,Mozambique,26,24,14,13,12,11
Uganda,Netherlands,191,178,92,86,99,92
Uganda,Nigeria,3,2,3,2,0,0
Uganda,Norway,7,6,7,6,0,0
Uganda,Pakistan,1004,995,655,634,349,361
Uganda,Russian Federation,272,253,111,102,161,151
Uganda,Rwanda,72393,65676,35609,31945,36784,33731
Uganda,Senegal,0,0,0,0,0,0
Uganda,Somalia,35224,37960,17511,18356,17713,19604
Uganda,Zimbabwe,2,1,2,1,0,0
Uganda,Spain,53,49,17,16,36,33
Uganda,South Sudan,262321,1022433,131537,496575,130784,525858
Uganda,Sudan,66853,62670,30213,28093,36640,34577
Uganda,Sweden,25,23,25,23,0,0
Uganda,Togo,3,2,3,2,0,0
Uganda,Egypt,0,0,0,0,0,0
Uganda,United Kingdom,1072,998,567,525,505,473
Uganda,United Republic of Tanzania,21916,20438,10629,9838,11287,10600
Uganda,United States of America,859,806,425,393,434,413
Uganda,Zambia,6,5,4,4,2,1
Uganda,Other,2516,2338,1354,1255,1162,1083
United Republic of Tanzania,Micronesia,0,0,0,0,0,0
United Republic of Tanzania,Angola,1249,1115,751,669,498,446
United Republic of Tanzania,Botswana,141,125,99,89,42,36
United Republic of Tanzania,Burundi,175325,222115,87663,113303,87662,108812
United Republic of Tanzania,Canada,294,261,178,158,116,103
United Republic of Tanzania,Comoros,596,533,360,322,236,211
United Republic of Tanzania,Congo,25017,22287,12399,10983,12618,11304
United Republic of Tanzania,Democratic Republic of the Congo,59508,70736,28415,33637,31093,37099
United Republic of Tanzania,Germany,967,861,473,419,494,442
United Republic of Tanzania,India,8010,7135,4583,4065,3427,3070
United Republic of Tanzania,Italy,575,511,333,295,242,216
United Republic of Tanzania,Kenya,27247,24274,11734,10376,15513,13898
United Republic of Tanzania,Lesotho,149,132,74,66,75,66
United Republic of Tanzania,Malawi,6907,6153,3751,3326,3156,2827
United Republic of Tanzania,Mauritius,192,170,104,92,88,78
United Republic of Tanzania,Mozambique,14651,13052,7363,6523,7288,6529
United Republic of Tanzania,Namibia,644,573,393,349,251,224
United Republic of Tanzania,Pakistan,668,595,399,355,269,240
United Republic of Tanzania,Rwanda,581,517,379,335,202,182
United Republic of Tanzania,Seychelles,374,332,258,220,116,112
United Republic of Tanzania,Somalia,2967,2642,1552,1375,1415,1267
United Republic of Tanzania,South Africa,712,633,433,384,279,249
United Republic of Tanzania,Eswatini,88,77,58,54,30,23
United Republic of Tanzania,Uganda,4857,4326,2542,2253,2315,2073
